Date,Open,High,Low,Close,Adj Close,Volume
2020-03-26,12.100000,13.000000,11.910000,12.740000,12.740000,5283600
2020-03-27,12.650000,13.450000,12.150000,13.050000,13.050000,8245600
2020-03-30,13.340000,14.470000,12.870000,14.300000,14.300000,6502600
2020-03-31,13.930000,14.360000,13.250000,13.580000,13.580000,6296200
2020-04-01,14.180000,14.880000,13.730000,14.030000,14.030000,5953000
2020-04-02,13.650000,13.990000,13.210000,13.860000,13.860000,3110300
2020-04-03,13.740000,15.690000,13.600000,15.610000,15.610000,9144800
2020-04-06,15.600000,16.590000,15.060000,16.100000,16.100000,5415800
2020-04-07,15.790000,16.000000,14.380000,14.900000,14.900000,4704500
2020-04-08,17.150000,18.250000,16.299999,17.180000,17.180000,13825700
2020-04-09,17.450001,17.850000,16.809999,17.049999,17.049999,4766100
2020-04-13,17.850000,17.889999,17.049999,17.639999,17.639999,4114700
2020-04-14,17.850000,18.120001,17.209999,18.000000,18.000000,3936500
2020-04-15,17.549999,17.940001,17.110001,17.530001,17.530001,3455100
2020-04-16,17.600000,18.490000,17.570000,18.100000,18.100000,4188800
2020-04-17,18.100000,19.799999,17.730000,19.080000,19.080000,7478600
2020-04-20,19.100000,26.340000,18.950001,23.799999,23.799999,27006300
2020-04-21,24.040001,26.100000,19.180000,21.530001,21.530001,15517500
2020-04-22,22.980000,23.100000,20.070000,21.370001,21.370001,6488700
2020-04-23,21.420000,21.950001,20.190001,20.379999,20.379999,4911400
2020-04-24,20.320000,20.450001,18.719999,19.830000,19.830000,4969800
2020-04-27,20.200001,21.850000,20.000000,21.010000,21.010000,5280400
2020-04-28,21.400000,21.660000,19.620001,20.549999,20.549999,3983000
2020-04-29,20.020000,20.299999,18.000000,18.410000,18.410000,6512300
2020-04-30,18.850000,19.299999,17.879999,18.129999,18.129999,4548900
2020-05-01,17.799999,18.650000,16.410000,17.330000,17.330000,4761400
2020-05-04,17.000000,18.410000,16.750000,18.059999,18.059999,3736700
2020-05-05,18.250000,18.700001,17.740000,17.780001,17.780001,2948300
2020-05-06,17.719999,18.040001,16.980000,17.139999,17.139999,2481000
2020-05-07,17.309999,18.719999,16.920000,18.150000,18.150000,3392200
2020-05-08,18.200001,18.920000,17.910000,18.730000,18.730000,3075400
2020-05-11,19.809999,24.600000,19.620001,24.500000,24.500000,24642100
2020-05-12,39.020000,44.939999,36.080002,39.820000,39.820000,74649600
2020-05-13,39.320000,42.799999,37.400002,40.669998,40.669998,24237100
2020-05-14,39.230000,40.349998,37.369999,38.299999,38.299999,7832800
2020-05-15,38.180000,46.000000,38.049999,43.630001,43.630001,21892500
2020-05-18,49.279999,61.500000,48.299999,56.959999,56.959999,24660100
2020-05-19,58.250000,61.000000,52.060001,53.900002,53.900002,12579400
2020-05-20,54.009998,54.500000,47.889999,52.810001,52.810001,8180300
2020-05-21,52.750000,53.580002,49.599998,50.070000,50.070000,5479500
2020-05-22,48.500000,49.740002,45.119999,46.110001,46.110001,6083300
2020-05-26,54.349998,54.500000,46.750000,48.169998,48.169998,22045300
2020-05-27,48.200001,48.840000,40.980000,45.470001,45.470001,10439500
2020-05-28,46.099998,46.599998,44.520000,44.840000,44.840000,4955100
